Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,5.993333,6.138333,5.993333,6.138333,1.365789,21200
1980-03-18,6.138333,6.138333,5.993333,6.138333,1.365789,13400
1980-03-19,6.186666,6.235000,6.186666,6.210834,1.381920,6700
1980-03-20,6.210834,6.259167,6.186666,6.186666,1.376543,5600
1980-03-21,6.065834,6.065834,5.945000,5.993333,1.333527,13900
1980-03-24,5.993333,5.993333,5.824167,5.824167,1.295886,3100
1980-03-25,5.848333,5.896667,5.848333,5.896667,1.312018,23200
1980-03-26,5.993333,6.065834,5.993333,5.993333,1.333527,5600
1980-03-27,5.751667,5.751667,5.655000,5.655000,1.258247,10800
1980-03-28,5.751667,5.993333,5.751667,5.896667,1.312018,13400
1980-03-31,5.896667,5.896667,5.896667,5.896667,1.312018,4100
1980-04-01,5.896667,5.896667,5.872500,5.896667,1.312018,5600
1980-04-02,5.896667,5.969167,5.848333,5.969167,1.328149,18600
1980-04-03,5.751667,5.751667,5.655000,5.751667,1.279755,10300
1980-04-07,5.751667,5.848333,5.703333,5.703333,1.269001,12900
1980-04-08,5.655000,5.655000,5.655000,5.655000,1.258247,1500
1980-04-09,5.751667,5.848333,5.751667,5.848333,1.301263,13400
1980-04-10,5.800000,5.800000,5.800000,5.800000,1.290509,13900
1980-04-11,5.800000,5.872500,5.800000,5.848333,1.301263,5100
1980-04-14,5.920833,5.993333,5.920833,5.945000,1.322772,4100
1980-04-15,5.945000,5.945000,5.848333,5.848333,1.301263,1500
1980-04-16,5.896667,5.945000,5.896667,5.945000,1.322772,10800
1980-04-17,5.945000,5.993333,5.945000,5.993333,1.333527,16000
1980-04-18,6.090000,6.090000,6.090000,6.090000,1.355035,500
1980-04-21,6.041667,6.041667,5.896667,5.920833,1.317394,5600
1980-04-22,5.945000,5.993333,5.945000,5.945000,1.322772,9300
1980-04-23,6.041667,6.138333,6.041667,6.041667,1.344280,7700
1980-04-24,6.041667,6.041667,6.041667,6.041667,1.344280,500
1980-04-25,5.945000,5.945000,5.848333,5.896667,1.312018,2500
1980-04-28,5.848333,5.848333,5.848333,5.848333,1.301263,500
1980-04-29,5.896667,5.945000,5.896667,5.896667,1.312018,3600
1980-04-30,5.896667,6.065834,5.800000,6.065834,1.349657,16500
